date	number
09-01-2021	7.9
09-02-2021	8.0
09-03-2021	8.2
09-04-2021	8.4
09-05-2021	8.4
09-06-2021	8.8
09-07-2021	8.7
09-08-2021	8.8
09-09-2021	9.0
09-10-2021	9.2
09-11-2021	9.3
09-12-2021	9.4
09-13-2021	9.6
09-14-2021	9.7
09-15-2021	9.7
09-16-2021	9.9
09-17-2021	9.9
09-18-2021	10.0
09-19-2021	10.1
09-20-2021	10.2
09-21-2021	10.3
09-22-2021	10.4
09-23-2021	10.5
09-24-2021	10.5
09-25-2021	10.6
09-26-2021	10.7
09-27-2021	10.8
09-28-2021	10.9
09-29-2021	11.0
09-30-2021	11.2
10-01-2021	11.3
10-02-2021	11.4
10-03-2021	11.5
10-04-2021	11.6
10-05-2021	11.8
10-06-2021	11.9
10-07-2021	12.1
10-08-2021	12.3
10-09-2021	12.5
10-10-2021	12.6
10-11-2021	12.8
10-12-2021	12.9
10-13-2021	13.2
10-14-2021	13.2
10-15-2021	13.4
10-16-2021	13.5
10-17-2021	13.7
10-18-2021	13.9
10-19-2021	14.2
10-20-2021	14.5
10-21-2021	14.8
10-22-2021	15.0
10-23-2021	15.3
10-24-2021	15.4
10-25-2021	15.6
10-26-2021	15.9
10-27-2021	16.1
10-28-2021	16.4
10-29-2021	16.7
10-30-2021	16.9
10-31-2021	17.0
11-01-2021	17.2
11-02-2021	17.5
11-03-2021	17.8
11-04-2021	17.8
11-05-2021	18.4
11-06-2021	18.6
11-07-2021	18.7
11-08-2021	19.0
11-09-2021	19.4
11-10-2021	19.7
11-11-2021	20.1
11-12-2021	20.5
11-13-2021	20.8
11-14-2021	21.0
