date	number
09-01-2021	103
09-02-2021	139
09-03-2021	236
09-04-2021	208
09-05-2021	90
09-06-2021	63
09-07-2021	140
09-08-2021	152
09-09-2021	222
09-10-2021	233
09-11-2021	215
09-12-2021	172
09-13-2021	56
09-14-2021	232
09-15-2021	361
09-16-2021	347
09-17-2021	530
09-18-2021	399
09-19-2021	319
09-20-2021	182
09-21-2021	419
09-22-2021	442
09-23-2021	407
09-24-2021	622
09-25-2021	485
09-26-2021	331
09-27-2021	163
09-28-2021	431
09-29-2021	752
09-30-2021	696
10-01-2021	696
10-02-2021	762
10-03-2021	571
10-04-2021	215
10-05-2021	809
10-06-2021	1076
10-07-2021	1059
10-08-2021	1418
10-09-2021	1310
10-10-2021	1010
10-11-2021	690
10-12-2021	690
10-13-2021	816
10-14-2021	1525
10-15-2021	1191
10-16-2021	753
10-17-2021	1396
10-18-2021	1367
10-19-2021	1418
10-20-2021	1606
10-21-2021	1528
10-22-2021	1484
10-23-2021	1499
10-24-2021	1403
10-25-2021	1262
10-26-2021	1605
10-27-2021	1477
10-28-2021	2296
10-29-2021	2156
10-30-2021	1973
10-31-2021	1521
11-01-2021	1281
11-02-2021	1908
11-03-2021	1858
11-04-2021	1899
11-05-2021	1648
11-06-2021	2177
11-07-2021	1664
11-08-2021	1558
11-09-2021	1516
11-10-2021	1572
11-11-2021	1469
11-12-2021	1816
11-13-2021	2066
11-14-2021	979
