date	number
01-28-2011	5
02-28-2011	6
03-28-2011	5
04-28-2011	8
05-28-2011	7
06-28-2011	6
07-28-2011	8
08-28-2011	5
09-28-2011	5
10-28-2011	7
11-28-2011	6
12-28-2011	8
01-28-2012	8
02-28-2012	8
03-28-2012	9
04-28-2012	7
05-28-2012	8
06-28-2012	9
07-28-2012	7
08-28-2012	6
09-28-2012	7
10-28-2012	5
11-28-2012	6
12-28-2012	7
01-28-2013	8
02-28-2013	6
03-28-2013	9
04-28-2013	7
05-28-2013	8
06-28-2013	9
07-28-2013	7
08-28-2013	8
09-28-2013	7
10-28-2013	8
11-28-2013	10
12-28-2013	11
01-28-2014	12
02-28-2014	10
03-28-2014	11
04-28-2014	9
05-28-2014	10
06-28-2014	13
07-28-2014	12
08-28-2014	11
09-28-2014	10
10-28-2014	12
11-28-2014	13
12-28-2014	11
01-28-2015	12
02-28-2015	10
03-28-2015	11
04-28-2015	13
05-28-2015	14
06-28-2015	15
07-28-2015	13
08-28-2015	14
09-28-2015	15
10-28-2015	13
11-28-2015	14
